taxa	determinant	effectsize	se	W	pvalue	formula	method	n	freq	qvalue.withinformula	qvalue
t10	Reproductive.haschildren	-0.018622743348525338	0.0644860409634658	-0.2887872021648212	0.7727442262437341	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9333941720451447
t12	Reproductive.haschildren	-0.09852134342507676	0.06365259487625631	-1.547797754617969	0.12167099728452188	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.39108534841453463	0.24334199456904376
t144	Reproductive.haschildren	0.039283932895244	0.08949043209159256	0.438973552558527	0.6606806999419539	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8617574347068964
t15	Reproductive.haschildren	0.4958308736647943	0.09448662861344692	5.247630071481138	1.5406826895398708e-7	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	9.904388718470598e-7	8.666340128661773e-7
t153	Reproductive.haschildren	0.08711494777265544	0.09784220823378466	0.8903616276168108	0.3732717396371717	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.8840646465090908	0.5999010101311688
t155	Reproductive.haschildren	-0.14987952589880504	0.09969476488739543	-1.5033841151849143	0.13274002041926639	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.3953270932515152	0.2541830178241271
t158	Reproductive.haschildren	0.047312828425656775	0.0670834168078795	0.7052835212785329	0.4806338133658891	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.73317022377847485
t16	Reproductive.haschildren	0.8892382896577941	0.12341588721469954	7.205217332439844	5.795134340128615e-13	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	1.3039052265289383e-11	1.7385403020385844e-11
t17	Reproductive.haschildren	0.3302459884564461	0.1751789989920075	1.8851916631371632	0.05940396598379294	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.22276487243922352	0.1303989497205211
t173	Reproductive.haschildren	-1.603829444898513	0.18623740887693055	-8.611746987729818	7.195551423300461e-18	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	3.2379981404852073e-16	3.2379981404852073e-16
t174	Reproductive.haschildren	0.7715899620500654	0.14567347258664706	5.296708785404433	1.1790850821908093e-7	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	8.84313811643107e-7	7.074510493144855e-7
t175	Reproductive.haschildren	0.04835467260854994	0.20051514461015313	0.24115222170655679	0.8094371397404309	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9460953581381659
t176	Reproductive.haschildren	-0.9879771218962757	0.16926969368451827	-5.836704139948698	5.324351752229289e-9	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	4.79191657700636e-8	4.79191657700636e-8
t182	Reproductive.haschildren	-0.7585396938682201	0.12775787331781477	-5.937322484863624	2.897144577110158e-9	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	3.2592876492489274e-8	2.897144577110158e-8
t190	Reproductive.haschildren	0.7525643745711289	0.11898334334517117	6.324955690545159	2.533052580005802e-10	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	3.799578870008703e-9	3.2567818885788883e-9
t206	Reproductive.haschildren	-0.015630186299214373	0.10670548627448863	-0.14647968764237074	0.8835427238703254	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t21	Reproductive.haschildren	0.15447902378492542	0.09560106174845232	1.615871424016128	0.10612211510151122	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.3673457830436927	0.2170679627076366
t24	Reproductive.haschildren	-0.024548028950971287	0.06754988083906505	-0.3634059549187956	0.716301654036736	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9079880121592429
t258	Reproductive.haschildren	0.37846919923844785	0.07689730918618386	4.921748280191414	8.577449472683937e-7	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	4.824815328384714e-6	4.063002381797654e-6
t267	Reproductive.haschildren	0.03525563420810575	0.05987250843147865	0.5888451165939408	0.5559651775023913	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8029692488075191
t297	Reproductive.haschildren	-0.018947912990555406	0.06144120223062803	-0.30839098687281213	0.7577848394275669	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9333941720451447
t305	Reproductive.haschildren	-0.05200141720078665	0.0861186696180654	-0.6038344232605068	0.5459537307629009	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8029692488075191
t333	Reproductive.haschildren	-0.0298844752811361	0.0515465503627118	-0.5797570365204147	0.5620784741652634	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8029692488075191
t371	Reproductive.haschildren	0.006025732664034987	0.09271849786959643	0.06498954148836465	0.9481823273345051	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9608183047175384
t372	Reproductive.haschildren	-0.14483003951266948	0.10025196127306464	-1.4446604103652776	0.1485532952585021	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.3953270932515152	0.2743085953173779
t374	Reproductive.haschildren	0.010102439158109952	0.05585680597694932	0.180863172918963	0.8564749758307114	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t375	Reproductive.haschildren	0.13768480900512828	0.09549202771854123	1.4418461131744789	0.14934579078390575	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.3953270932515152	0.2743085953173779
t376	Reproductive.haschildren	0.30427462121038057	0.0948251101720834	3.2087979719527846	0.001332911144320004	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.005998100149440019	0.003528294205552952
t381	Reproductive.haschildren	0.029088100619752498	0.07676042655397972	0.37894657345731486	0.7047275382352168	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9060782634452789
t382	Reproductive.haschildren	-0.017117789012884244	0.08555870716129359	-0.20007068340355033	0.841425301055492	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t383	Reproductive.haschildren	-0.06698490674296798	0.08219706842603669	-0.8149306055025909	0.41511203314777173	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.9340020745824864	0.6554400523385869
t388	Reproductive.haschildren	0.030928246092437106	0.0553981578127602	0.558290154646861	0.5766462667815246	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.810908812661519
t390	Reproductive.haschildren	-0.04962298443246007	0.07701278462907775	-0.6443473596164954	0.519350211362922	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.779025317044383
t391	Reproductive.haschildren	0.0077604603603736826	0.08622262618819969	0.09000491754258082	0.9282833070577897	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9608183047175384
t392	Reproductive.haschildren	0.039609736104220666	0.08257648142501818	0.4796733333835185	0.6314596924563822	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8527081264691749
t395	Reproductive.haschildren	-0.012883310081456281	0.1038245227323972	-0.12408735183558131	0.9012461125307983	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9542605897384924
t446	Reproductive.haschildren	0.008782999993592723	0.05436377368095813	0.1615597924665249	0.8716525222182481	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t448	Reproductive.haschildren	-0.010428192720305516	0.07350278757634736	-0.14187479229238414	0.8871789057175871	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t460	Reproductive.haschildren	-0.020672906482488186	0.07326919966678593	-0.28215002451923243	0.7778284767042873	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9333941720451447
t527	Reproductive.haschildren	-0.36515196334863137	0.10025830021285131	-3.6421120503080844	2.7041031585664396e-4	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.0013520515792832199	8.392044285206192e-4
t62	Reproductive.haschildren	0.37772508792764375	0.12815254713147986	2.9474645364645897	0.0032039149938843836	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.013106924974981568	0.008238638555702702
t69	Reproductive.haschildren	0.04954350189134589	0.05443921064969186	0.9100701736869566	0.3627855030409836	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.8840646465090908	0.593649004976155
t9	Reproductive.haschildren	-0.012806764484541051	0.08069936445053033	-0.1586972161644687	0.8739074315624012	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t90	Reproductive.haschildren	-0.0049875504698750454	0.07976536270408702	-0.0625277727173112	0.9501425457762324	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9608183047175384
t98	Reproductive.haschildren	-0.0019185533525563694	0.10618740900867223	-0.018067616212386187	0.9855849122517765	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.9855849122517765	0.9855849122517765
t10	General.Age	0.19106359206991363	0.03327398542410868	5.742131266652489	9.349230124661237e-9	General.Age + Technical.dna_conc	ancombc	3043		5.258941945121946e-8	6.47254393245778e-8
t12	General.Age	0.08539014135069409	0.031109947503057383	2.7447857744633684	0.006055040970878715	General.Age + Technical.dna_conc	ancombc	3043		0.01047987860344393	0.014728478037272551
t144	General.Age	-0.046469693099112676	0.03898171981052259	-1.1920893517522233	0.2332262117873612	General.Age + Technical.dna_conc	ancombc	3043		0.2915327647342015	0.3960445105823115
t15	General.Age	0.07935909046503023	0.038497581879250786	2.061404550393404	0.03926446110436555	General.Age + Technical.dna_conc	ancombc	3043		0.06092761205849827	0.08834503748482249
t153	General.Age	-0.26789481868004517	0.04156959776984564	-6.444489075003141	1.1599048874547041e-10	General.Age + Technical.dna_conc	ancombc	3043		1.3048929983865422e-9	1.7398573311820561e-9
t155	General.Age	0.13650623095440123	0.0425295434642489	3.209680138446603	0.0013288275314706876	General.Age + Technical.dna_conc	ancombc	3043		0.0024915516215075393	0.003528294205552952
t158	General.Age	0.18089896404539418	0.031098534743509064	5.816961009172681	5.992711314420859e-9	General.Age + Technical.dna_conc	ancombc	3043		4.1436963020757555e-8	4.8343123524217145e-8
t16	General.Age	0.0570388247578999	0.045035590317027155	1.2665277474187906	0.20532420178992491	General.Age + Technical.dna_conc	ancombc	3043		0.2717526200160771	0.3623368266881028
t17	General.Age	0.005863420122031268	0.06895419686159163	0.08503354964456512	0.9322347185329861	General.Age + Technical.dna_conc	ancombc	3043		0.9322347185329861	0.9608183047175384
t173	General.Age	-0.7399731056709782	0.07611060704188073	-9.72233877025576	2.4215450349477844e-22	General.Age + Technical.dna_conc	ancombc	3043		1.0896952657265029e-20	2.1793905314530058e-20
t174	General.Age	-0.009227695336678582	0.057054820527677526	-0.16173384214226366	0.8715154532042807	General.Age + Technical.dna_conc	ancombc	3043		0.891322622595287	0.9505488275545575
t175	General.Age	-0.3028931495231168	0.08107477431650013	-3.735972774227911	1.8699090060654165e-4	General.Age + Technical.dna_conc	ancombc	3043		4.2072952636471874e-4	6.010421805210267e-4
t176	General.Age	-0.3801287796774609	0.0689034032456888	-5.516836059926329	3.451571323449954e-8	General.Age + Technical.dna_conc	ancombc	3043		1.725785661724977e-7	2.2188672793606847e-7
t182	General.Age	-0.3566176695629064	0.05434041423374519	-6.562660123070025	5.2856231882658984e-11	General.Age + Technical.dna_conc	ancombc	3043		7.928434782398848e-10	9.514121738878617e-10
t190	General.Age	0.18667985975390294	0.0492042731238833	3.7939765776824426	1.482536651008842e-4	General.Age + Technical.dna_conc	ancombc	3043		3.511271015547257e-4	4.94178883669614e-4
t206	General.Age	-0.19118678731423455	0.041447260100965486	-4.612772638010419	3.973328555931314e-6	General.Age + Technical.dna_conc	ancombc	3043		1.3753829616685317e-5	1.7028550953991343e-5
t21	General.Age	0.05484770137503134	0.04050408894635329	1.3541275165496458	0.17569569877791924	General.Age + Technical.dna_conc	ancombc	3043		0.23958504378807166	0.3162522578002546
t24	General.Age	0.0076325013913475515	0.03025114125010459	0.25230457681728496	0.8008056507623037	General.Age + Technical.dna_conc	ancombc	3043		0.8380524252163644	0.9460953581381659
t258	General.Age	0.13435582410957844	0.03247060860809049	4.137767349272963	3.507017012945921e-5	General.Age + Technical.dna_conc	ancombc	3043		9.863485348910402e-5	1.3151313798547202e-4
t267	General.Age	-0.013734261025917252	0.030334631150985388	-0.4527584646590011	0.6507226752991444	General.Age + Technical.dna_conc	ancombc	3043		0.7142078143527195	0.8612505996606322
t297	General.Age	0.01659919404820767	0.030551482627966826	0.5433187727856051	0.5869103410771135	General.Age + Technical.dna_conc	ancombc	3043		0.6772042397043616	0.812645087645234
t305	General.Age	-0.06283637312027669	0.03789125884788949	-1.6583342710393119	0.09725001535251654	General.Age + Technical.dna_conc	ancombc	3043		0.1458750230287748	0.20839289004110687
t333	General.Age	-0.10029447017665079	0.024864128258212468	-4.033701448733645	5.490506854257455e-5	General.Age + Technical.dna_conc	ancombc	3043		1.4347674693797335e-4	1.9765824675326837e-4
t371	General.Age	0.20949309719570924	0.040489687515099446	5.173986514901724	2.291513699780862e-7	General.Age + Technical.dna_conc	ancombc	3043		1.031181164901388e-6	1.2131543116486916e-6
t372	General.Age	0.05072309589293755	0.0415921407179789	1.2195355905547716	0.22264097603807204	General.Age + Technical.dna_conc	ancombc	3043		0.2862526834775212	0.3853401508351247
t374	General.Age	-0.01283432655235607	0.02702018186835553	-0.4749903836652887	0.6347938274826079	General.Age + Technical.dna_conc	ancombc	3043		0.7141430559179339	0.8527081264691749
t375	General.Age	-0.06632520615514309	0.040775440846233454	-1.6265969117356518	0.10382273566174272	General.Age + Technical.dna_conc	ancombc	3043		0.15071042273478782	0.2170679627076366
t376	General.Age	0.1432642509668236	0.04074139777339809	3.516429450056015	4.373928834021553e-4	General.Age + Technical.dna_conc	ancombc	3043		8.946672615044085e-4	0.0012698503066514186
t381	General.Age	0.03954661668641768	0.03544864453592291	1.1156030704176	0.2645920772527532	General.Age + Technical.dna_conc	ancombc	3043		0.32180117503713224	0.44098679542125535
t382	General.Age	-0.059827249600828546	0.039082750762929684	-1.5307840014571132	0.1258227848765437	General.Age + Technical.dna_conc	ancombc	3043		0.17693829123263957	0.24617501388888985
t383	General.Age	0.027952759574539937	0.03738115646010337	0.747776746938627	0.45459483006468915	General.Age + Technical.dna_conc	ancombc	3043		0.5383359829713423	0.7054057707900349
t388	General.Age	-0.07081695231398305	0.025359923360079858	-2.7924750129749625	0.005230650724891399	General.Age + Technical.dna_conc	ancombc	3043		0.009415171304804518	0.013076626812228499
t390	General.Age	0.1804198307227447	0.03684916267804528	4.89617178819205	9.772164668651977e-7	General.Age + Technical.dna_conc	ancombc	3043		3.6645617507444915e-6	4.39747410089339e-6
t391	General.Age	0.16695006413581692	0.038602564434792104	4.324843869319379	1.5263993108441623e-5	General.Age + Technical.dna_conc	ancombc	3043		4.9062834991419505e-5	6.244360817089755e-5
t392	General.Age	0.1415664180291573	0.04055789277907499	3.4904776439025347	4.8215795152424816e-4	General.Age + Technical.dna_conc	ancombc	3043		9.433525138517898e-4	0.001356069238661948
t395	General.Age	0.11572654351411493	0.0437243471888917	2.646730047544669	0.008127420401045906	General.Age + Technical.dna_conc	ancombc	3043		0.013545700668409844	0.019249153581424514
t446	General.Age	-0.08770853518688347	0.024379463621315954	-3.5976400690865216	3.211175732536108e-4	General.Age + Technical.dna_conc	ancombc	3043		6.881090855434517e-4	9.633527197608324e-4
t448	General.Age	-0.00943775051856581	0.030719193302104663	-0.3072265090346367	0.7586709693166196	General.Age + Technical.dna_conc	ancombc	3043		0.8128617528392352	0.9333941720451447
t460	General.Age	0.15797192460294937	0.03708517981061773	4.259704965963816	2.0469691617036384e-5	General.Age + Technical.dna_conc	ancombc	3043		6.140907485110915e-5	8.009879328405542e-5
t527	General.Age	-0.28757886982229525	0.040434622377603355	-7.112193781277515	1.1421274269431541e-12	General.Age + Technical.dna_conc	ancombc	3043		2.569786710622097e-11	2.569786710622097e-11
t62	General.Age	0.2895132616288084	0.049875130431768444	5.804761995056361	6.445749803228952e-9	General.Age + Technical.dna_conc	ancombc	3043		4.1436963020757555e-8	4.8343123524217145e-8
t69	General.Age	-0.12195932897927378	0.024269492970554668	-5.025211244719566	5.028786867284176e-7	General.Age + Technical.dna_conc	ancombc	3043		2.057230991161708e-6	2.514393433642088e-6
t9	General.Age	0.23058640854793783	0.03823699259638703	6.030453571019748	1.6350014003713097e-9	General.Age + Technical.dna_conc	ancombc	3043		1.4715012603341787e-8	1.8393765754177232e-8
t90	General.Age	0.0967028740020483	0.03804523087045113	2.541787020069189	0.011028735383499367	General.Age + Technical.dna_conc	ancombc	3043		0.017724753294909697	0.025450927808075462
t98	General.Age	0.18885670848891045	0.046940861133865766	4.0232902406781506	5.739069877518934e-5	General.Age + Technical.dna_conc	ancombc	3043		1.4347674693797335e-4	1.9866011114488618e-4
